x;sin;cos;ctg;csc;sec;trig_f;ln;log2;log10;logarithm;main
-10;0,543761493;-0,839239798;-1,543396891;1,839041588;-1,19155455;0,99960362;;;;;0,99960362
-9,9;0,457362991;-0,889280099;-1,944363922;2,186447132;-1,124505093;1,682642311;;;;;1,682642311
-9,8;0,366365299;-0,9304711;-2,539735894;2,72951615;-1,074724406;3,236563091;;;;;3,236563091
-9,7;0,271686595;-0,962385782;-3,542264506;3,680711593;-1,039084345;7,389295211;;;;;7,389295211
-9,6;0,17522352;-0,984528678;-5,618701628;5,706996406;-1,015714445;22,30170144;;;;;22,30170144
-9,5;0,075755268;-0,997126441;-13,16246996;13,20040209;-1,00288184;148,9199366;;;;;148,9199366
-9,4;-0,02437352;-0,999702922;41,01594287;-41,02813144;-1,000297167;1766,338861;;;;;1766,338861
-9,3;-0,124190638;-0,992258376;7,989800128;-8,05213674;-1,007802024;81,80108303;;;;;81,80108303
-9,2;-0,222719254;-0,974882626;4,377181629;-4,489957574;-1,025764511;29,86447841;;;;;29,86447841
-9,1;-0,318989636;-0,947758204;2,971125383;-3,134898091;-1,05512144;16,66808242;;;;;16,66808242
-9;-0,412050349;-0,911161078;2,211285784;-2,426887887;-1,097500787;11,14257089;;;;;11,14257089
-8,9;-0,501965974;-0,864887369;1,722999991;-1,992166903;-1,156219915;8,16275911;;;;;8,16275911
-8,8;-0,585534849;-0,810647235;1,384456001;-1,707840279;-1,2335822;6,342779359;;;;;6,342779359
-8,7;-0,66336588;-0,748295202;1,128027871;-1,507463724;-1,336370991;5,088448329;;;;;5,088448329
-8,6;-0,734647035;-0,678449508;0,923504045;-1,361197899;-1,473949039;4,160161544;;;;;4,160161544
-8,5;-0,798641386;-0,601807225;0,753538742;-1,252126446;-1,661661671;3,437070057;;;;;3,437070057
-8,4;-0,854692012;-0,519135401;0,607394703;-1,170012105;-1,92627973;2,853219297;;;;;2,853219297
-8,3;-0,902226651;-0,431262182;0,47799761;-1,108368943;-2,318775076;2,370464004;;;;;2,370464004
-8,2;-0,939799339;-0,341726796;0,363616766;-1,064056931;-2,92631427;1,976227888;;;;;1,976227888
-8,1;-0,969312937;-0,245830084;0,253612713;-1,031658572;-4,067850378;1,631977265;;;;;1,631977265
-8;-0,989010571;-0,147844822;0,149487605;-1,011111539;-6,763848659;1,343179846;;;;;1,343179846
-7,9;-0,998738149;-0,050220614;0,050284065;-1,001263445;-19,91214212;1,105618727;;;;;1,105618727
-7,8;-0,99842864;0,056037947;-0,056126142;-1,001573833;17,8450505;0,894038112;;;;;0,894038112
-7,7;-0,988105981;0,153774413;-0,155625425;-1,012037189;6,50303246;0,736614993;;;;;0,736614993
-7,6;-0,967887377;0,251384219;-0,259724659;-1,033178057;3,977974456;0,611201606;;;;;0,611201606
-7,5;-0,938767759;0,344550569;-0,367024289;-1,065226187;2,902331586;0,519373346;;;;;0,519373346
