1.0E-5
left:
x= -3.0;y= 65.22435860660299
x= -2.5;y= 6.111106160752125
x= -2.0;y= 2.297943735351803
x= -1.7;y= 1.2933369783760549
x= -1.5;y= 0.8682029782369417
x= -0.9720396099999999;y= 0.4185878205799962
x= -0.97202961;y= 0.4185878203927103
x= -0.97201961;y= 0.41858782058086624
x= 0.1;y= 121.25732319512355
x= 0.3;y= 18.82865534648215
x= 0.5;y= 8.781811895699017
x= -1.0E-5;y= 9.999800001333338E9

right:
x= 1.0E-5;	y= 28968.396712851045
x= 2.64E-4;	y= 32.331298950740916
x= 5.18E-4;	y= 5.483422792121246E-4
x= 5.28E-4;	y= 1.0490078098767594E-7
x= 5.380000000000001E-4;	y= -3.489491437635672E-4
x= 0.0128126;	y= -198.43326150074174
x= 0.0128226;	y= -198.43331213222982
x= 0.0128326;	y= -198.43330550519914
x= 0.99999;	y= -8.10135223672369E-15
x= 1.00001;	y= 8.101109200071976E-15
x= 77.96394;	y= 198.43331635166302
x= 77.96395;	y= 198.43331635166447
x= 77.96396;	y= 198.43331635166447
x= 1891.717494;	y= 1.1131362447917873E-23
x= 1891.717504;	y= 1.3106513068887702E-27
x= 1891.717514;	y= -8.168269701430264E-24
x= 3000.0;	y= -8.31011488345985

Process finished with exit code 0
